regime,tokenReduction,failureReduction,fixedEnergyShare,physicalSavingsFraction,gateEnergyRatio,falseReject,demandMultiplier,completion,waterSavedPerCompletionPct,energySavedPerCompletionPct,totalWaterChangePct,totalEnergyChangePct,waterDemandBreakEven
illustrative wet,-0.1,-0.5,0,0,0,0,1,0.973,-25.71428571428569,-25.71428571428569,23.30645161290321,23.30645161290321,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0,0,0,1.5,0.973,-25.71428571428569,-25.71428571428569,84.95967741935482,84.95967741935479,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0,0,0,2,0.973,-25.71428571428569,-25.71428571428569,146.61290322580643,146.61290322580643,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0,0,0,3,0.973,-25.71428571428569,-25.71428571428569,269.91935483870964,269.9193548387096,0.8109875735775017
illustrative dry,-0.1,-0.5,0,0,0,0,1,0.973,-25.71428571428571,-25.71428571428571,23.30645161290319,23.30645161290319,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0,0,0,1.5,0.973,-25.71428571428571,-25.71428571428571,84.95967741935479,84.95967741935479,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0,0,0,2,0.973,-25.71428571428571,-25.71428571428571,146.61290322580638,146.61290322580638,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0,0,0,3,0.973,-25.71428571428571,-25.71428571428571,269.9193548387096,269.9193548387096,0.8109875735775018
different verifier site,-0.1,-0.5,0,0,0,0,1,0.973,-25.71428571428571,-25.71428571428571,23.30645161290321,23.30645161290319,0.8109875735775017
different verifier site,-0.1,-0.5,0,0,0,0,1.5,0.973,-25.71428571428571,-25.71428571428571,84.95967741935485,84.95967741935479,0.8109875735775017
different verifier site,-0.1,-0.5,0,0,0,0,2,0.973,-25.71428571428571,-25.71428571428571,146.61290322580643,146.61290322580638,0.8109875735775017
different verifier site,-0.1,-0.5,0,0,0,0,3,0.973,-25.71428571428571,-25.71428571428571,269.9193548387097,269.9193548387096,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0,0,0.01,1,0.971065557,-25.71428571428571,-25.71428571428571,23.06130330645162,23.06130330645162,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0,0,0.01,1.5,0.971065557,-25.71428571428571,-25.71428571428571,84.59195495967742,84.59195495967742,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0,0,0.01,2,0.971065557,-25.71428571428571,-25.71428571428571,146.12260661290324,146.12260661290324,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0,0,0.01,3,0.971065557,-25.71428571428571,-25.71428571428571,269.18390991935485,269.18390991935485,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0,0,0.01,1,0.971065557,-25.714285714285733,-25.714285714285733,23.06130330645162,23.06130330645162,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0,0,0.01,1.5,0.971065557,-25.714285714285733,-25.714285714285733,84.5919549596774,84.5919549596774,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0,0,0.01,2,0.971065557,-25.714285714285733,-25.714285714285733,146.12260661290324,146.12260661290324,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0,0,0.01,3,0.971065557,-25.714285714285733,-25.714285714285733,269.1839099193548,269.1839099193548,0.8126031279790403
